query,openalex_id,doi,title,publication_year,publication_date,type,cited_by_count,is_oa,source,source_type,authors,institutions,countries,topics,concepts,abstract
artificial intelligence cultural heritage,https://openalex.org/W4293215332,https://doi.org/10.1007/s11263-022-01665-x,Artificial Intelligence for Dunhuang Cultural Heritage Protection: The Project and the Dataset,2022,2022-08-24,article,82,True,International Journal of Computer Vision,journal,Tianxiu Yu; Cong Lin; Shijie Zhang; Chunxue Wang; Xiaohong Ding; Huili An; Xixiang Liu; Ting Qu; Liang Wan; Shaodi You; Jian Wu; Jiawan Zhang,Dunhuang Research Academy; Jinan University; Tianjin Medical University; Tianjin University; University of Amsterdam,CN; NL,3D Surveying and Cultural Heritage; Generative Adversarial Networks and Image Synthesis; Image Processing and 3D Reconstruction,Computer science; Cultural heritage; Style (visual arts); Artificial intelligence; Transfer of learning; Painting; China; Quality (philosophy); Property (philosophy); Transfer (computing),"Abstract In this work, we introduce our project on Dunhuang cultural heritage protection using artificial intelligence. The Dunhuang Mogao Grottoes in China, also known as the Grottoes of the Thousand Buddhas, is a religious and cultural heritage located on the Silk Road. The grottoes were built from the 4th century to the 14th century. After thousands of years, the in grottoes decaying is serious. In addition, numerous historical records were destroyed throughout the years, making it difficult for archaeologists to reconstruct history. We aim to use modern computer vision and machine learning technologies to solve such challenges. First, we propose to use deep networks to automatically perform the restoration. Through out experiments, we find the automated restoration can provide comparable quality as those manually restored from an archaeologist. This can significantly speed up the restoration given the enormous size of the historical paintings. Second, we propose to use detection and retrieval for further analyzing the tremendously large amount of objects because it is unreasonable to manually label and analyze them. Several state-of-the-art methods are rigorously tested and quantitatively compared in different criteria and categorically. In this work, we created a new dataset, namely, AI for Dunhuang, to facilitate the research. Version v1.0 of the dataset comprises of data and label for the restoration, style transfer, detection, and retrieval. Specifically, the dataset has 10,000 images for restoration, 3455 for style transfer, and 6147 for property retrieval. Lastly, we propose to use style transfer to link and analyze the styles over time, given that the grottoes were build over 1000 years by numerous artists. This enables the possibly to analyze and study the art styles over 1000 years and further enable future researches on cross-era style analysis. We benchmark representative methods and conduct a comparative study on the results for our solution. The dataset will be publicly available along with this paper."
artificial intelligence cultural heritage,https://openalex.org/W4286210653,https://doi.org/10.1155/2022/6913046,Innovative Design of Artificial Intelligence in Intangible Cultural Heritage,2022,2022-07-20,article,45,True,Scientific Programming,journal,Jing Xie,José Rizal University; Wuhan Technology and Business University,CN; PH,Applied Advanced Technologies; Digital Media and Visual Art; Environmental Engineering and Cultural Studies,Intangible cultural heritage; Cultural heritage; Product (mathematics); Product design; Architectural engineering; Cultural heritage management; Computer science; Engineering; Knowledge management; Aesthetics,"Driven by artificial intelligence technology, the research of intangible cultural heritage innovative design is carried out. Firstly, the appearance modeling characteristics, decorative element characteristics, and composition form characteristics of typical intangible cultural heritage products are analyzed. According to the collected relevant data of intangible cultural heritage products and existing products, combined with the regional cultural characteristics of intangible cultural heritage products and other factors, the analysis Atlas of intangible cultural heritage product innovation design is constructed. Based on perceptual engineering, the elements of intangible cultural heritage product innovation design for user participation are determined according to the needs and perceptual images of users. The shape grammar is used to extract the elements of intangible cultural heritage products, deduce and deform them, and finally generate the preliminary design scheme."
artificial intelligence cultural heritage,https://openalex.org/W4205095907,https://doi.org/10.1155/2022/9117981,Artificial Intelligence in the Protection and Inheritance of Cultural Landscape Heritage in Traditional Village,2022,2022-01-07,article,29,True,Scientific Programming,journal,Wang Xin,Lanzhou Jiaotong University,CN,Diverse Aspects of Tourism Research; Digital Media and Visual Art,Cultural heritage; Inheritance (genetic algorithm); Relocation; Tourism; Cultural landscape; Geography; Cultural heritage management; Environmental resource management; History; Environmental ethics,"To continue to protect and inherit the cultural landscape heritage of traditional villages, starting from the perspective of artificial intelligence (AI), literature review methods are used, and related theories are collected. Then, Wuyuan County in Jiangxi Province in the traditional villages is taken as the research object. By analyzing the tourism income of this place from 2016 to 2020, the overall income of this county is relatively good. In fact, due to the weak protection of traditional villages in Wuyuan County, the lack of supervision awareness, the implementation of the “immigrant and relocation” policy, and the backward thinking of residents, the cultural landscape of traditional villages has collapsed and destroyed. Up to now, there are 113 ancient ancestral temples, 28 ancient mansion houses, 36 ancient private houses, 187 ancient bridges, and only 12 ancient villages. Finally, AI technology is applied to the cultural landscape of traditional villages. Through image restoration technology, traditional villages can be restored to a certain extent. Intelligent positioning and radio frequency (RF) technology can also realize real-time monitoring of traditional villages from the perspective of weather and service life to achieve the purpose of protecting cultural landscape heritage. Therefore, AI technology is applied in the protection and inheritance of traditional village cultural landscape heritage, which has great reference significance for the management of various historical and cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W4297342006,https://doi.org/10.1155/2022/6563114,Application of Artificial Intelligence Technology in Cross-Cultural Communication of Intangible Cultural Heritage,2022,2022-09-27,article,21,True,Mathematical Problems in Engineering,journal,Jiankun Zhang; Yanhui Jing,Lanzhou University of Technology,CN,Artificial Intelligence Applications; 3D Surveying and Cultural Heritage; Archaeological Research and Protection,Intangible cultural heritage; Cultural heritage; Cultural heritage management; Multiculturalism; Inheritance (genetic algorithm); Environmental ethics; Industrial heritage; Political science; Sociology; Public relations,"Intercultural communication not only promotes the emergence and development of multiculturalism but also promotes cultural exchanges on a global scale. China has rich resources and a long history. Because of its unique national characteristics, it is even more famous and unique in the world today. However, with the transformation of society, cross-cultural dissemination and blending are inevitable. Intangible cultural heritage is an important cultural form, and its international dissemination is increasingly attracting people’s attention. The spontaneous inheritance mode of intangible cultural heritage, which is mainly based on oral and heart teaching, has been unable to adapt to the development of society and has gradually moved away from people’s sight. How to better protect and inherit intangible cultural heritage is an important topic in the field of current cultural exchanges. However, due to the particularity of intangible culture, especially its abstract nature, it is difficult to show it to the public, which makes it difficult to protect and promote intangible cultural heritage. The application of the advantages of artificial intelligence technology to the dissemination of intangible cultural heritage is to solve these problems, which can not only make it innovative in protection but also promote its sustainable development to a certain extent. This paper discusses the application of artificial intelligence technology in the protection and dissemination of intangible cultural heritage from multiple perspectives and points out that the advantage of artificial intelligence is that although it cannot be creatively inherited, it can be reproduced in a historical moment, so as to meet people’s needs for intangible cultural heritage. It can also be found in the questionnaire for the visitors that 66% of the visitors prefer to learn about the intangible cultural heritage through experience and feel that the personal experience is more intuitive and interesting. Artificial intelligence technology has great advantages in disseminating intangible cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W3158709897,https://doi.org/10.1088/1742-6596/1881/3/032007,Application of Artificial Intelligence in Cultural Heritage Protection,2021,2021-04-01,article,16,True,Journal of Physics Conference Series,journal,Junli Li,Northwest Minzu University,CN,Artificial Intelligence Applications; Archaeological Research and Protection; 3D Surveying and Cultural Heritage,Cultural heritage; Digitization; Industrial heritage; Process (computing); Cultural heritage management; Computer science; Artificial intelligence; Engineering; Sociology; Political science,"Abstract With the continuous development of science and technology, artificial intelligence has become the subject of extensive discussion in recent years. Artificial intelligence technology uses deep learning to apply this, it shows the trend of high development, such as the previous Go game that shocked the world, the fact that artificial intelligence “Alphago” defeated the world Go champion, people realized that the development of artificial intelligence exceeded people Imagination. Various social industries are gradually introducing artificial intelligence technology to give them new vitality for development. This is exactly how the cultural heritage protection process should be combined with artificial intelligence technology. Cultural protection should enter the digital era, using virtual reality technology and applying segmentation algorithms to segment the prospects of cultural heritage. Complete all aspects of cultural heritage protection without applications. This article introduces the process of artificial intelligence in the protection of cultural heritage using virtual reality technology to realize the digitization of cultural heritage, realizing that the protection of cultural heritage keeps pace with the times. The experimental results of this paper show that the virtual reality technology combined with artificial intelligence is applied to the importance of cultural heritage protection, which improves the vitality of cultural heritage and more perfectly shows the charm of cultural heritage application."
artificial intelligence cultural heritage,https://openalex.org/W3023754539,https://doi.org/10.1088/1757-899x/806/1/012036,Exploring research fronts and topics of Big Data and Artificial Intelligence application for cultural heritage and museum research,2020,2020-04-01,article,19,True,IOP Conference Series Materials Science and Engineering,conference,Man Zhao; Xue Wu; Han‐Teng Liao; Liu Yu,Sun Yat-sen University,CN,Conservation Techniques and Studies; 3D Surveying and Cultural Heritage; Archaeological Research and Protection,Digitization; Big data; Cultural heritage; Data science; Scope (computer science); Presentation (obstetrics); Computer science; Reuse; World Wide Web; Engineering,"Abstract Modern technologies have supported the preservation, curation and reuse of human cultural heritage assets and resources, the latest development in Artificial Intelligence (AI) and Big Data technologies are expected to have great potentials in the datafication, digitization, and reuse of such resources. With the aim to reveal the research fronts and topics of such potential development, the paper conducted a bibliometric analysis based on 206 related articles from the Web of Science (WoS) database. The paper presents the findings on publication trends, main publication outlets and disciplines, main keyword clusters and research gaps. The paper also finds that the current research scope of AI and Big Data in cultural heritage and museum applications is still in the early stage of storage, calculation and presentation of Big Data. The paper help researchers, funding agencies and practitioners to understand the current status of AI and Big Data applications in cultural heritage and museum."
artificial intelligence cultural heritage,https://openalex.org/W4406736993,https://doi.org/10.3390/su17030898,Artificial Intelligence-Driven Interactive Experience for Intangible Cultural Heritage: Sustainable Innovation of Blue Clamp-Resist Dyeing,2025,2025-01-23,article,16,True,Sustainability,journal,Yidan Wang; Yixuan Zhou,Zhejiang Normal University,CN,3D Surveying and Cultural Heritage; Digital Media and Visual Art; Conservation Techniques and Studies,Resist; Intangible cultural heritage; Clamp; Cultural heritage; Dyeing; Sustainable development; Business; Architectural engineering; Engineering; Nanotechnology,"The sustainable development of intangible cultural heritage (ICH) faces multiple challenges, including societal structural transformations, intergenerational transmission gaps, and the loss of cultural memory. The rapid advancement of generative artificial intelligence (AI) technologies offers new possibilities for the digital preservation and innovation of ICH. This study leverages generative AI to develop a LoRA model embodying the Blue Clamp-Resist Dyeing style, enabling the digital preservation and innovative reinterpretation of traditional patterns. Additionally, the study integrates these technological achievements into an interactive experience project at the Wenzhou Blue Clamp-Resist Dyeing Museum. Through immersive experiences in pattern generation and dissemination, the project effectively enhances public engagement and cultural identity. The findings reveal that generative AI holds significant potential for promoting the digital transformation, innovative dissemination, and sustainable development of ICH. This study offers a practical approach to the preservation and innovation of intangible cultural heritage. By applying generative artificial intelligence, it further expands the potential for enhancing public engagement and promoting innovative cultural heritage transmission. Additionally, it provides new possibilities for leveraging digital technologies to support the sustainable development of intangible cultural heritage."
artificial intelligence cultural heritage,https://openalex.org/W4415282969,https://doi.org/10.3390/su17209192,Artificial Intelligence for Sustainable Cultural Heritage: Practical Guidelines and Case-Based Evidence,2025,2025-10-16,article,12,True,Sustainability,journal,Huimeng Wang; Yinyan Gong; Yuge Zhang; Frank Yonghong Li,Australian National University; Georgia Institute of Technology; Ocean University of China,AU; CN; US,3D Surveying and Cultural Heritage; Conservation Techniques and Studies; Archaeological Research and Protection,Sustainability; Cultural heritage; Tourism; Knowledge management; Cultural sustainability; Industrial heritage; Engineering ethics; Sustainable development; The arts; Sustainable tourism,"The sustainable preservation of cultural heritage, as articulated in Sustainable Development Goal (SDG) 11.4, requires strategies that not only safeguard tangible and intangible assets but also enhance their long-term cultural, social, and economic value. Artificial intelligence (AI) and digital technologies are increasingly applied in heritage conservation. However, most research emphasizes technical applications, such as improving data accuracy and increasing efficiency, while neglecting their integration into a broader framework of cultural sustainability and heritage tourism. This study addresses this gap by developing a set of practical guidelines for the sustainable use of AI in cultural heritage preservation. The guidelines highlight six dimensions: inclusive data governance, data authenticity protection, leveraging AI as a complementary tool, balancing innovation with cultural values, ensuring copyright and ethical compliance, long-term technical maintenance, and collaborative governance. To illustrate the feasibility of these guidelines, the paper analyses three representative case studies: AI-driven 3D reconstruction of the Old Summer Palace, educational dissemination via Google Arts &amp; Culture, and intelligent restoration at E-Dunhuang. By situating AI-driven practices within the framework of cultural sustainability, this study makes both theoretical and practical contributions to heritage governance, to enhance cultural sustainability commitments and align digital innovation with the enduring preservation of humanity’s shared heritage, providing actionable insights for policymakers, institutions, and the tourism industry in designing resilient and culturally respectful heritage strategies."
artificial intelligence cultural heritage,https://openalex.org/W4410140563,https://doi.org/10.1093/llc/fqaf034,Artificial intelligence and machine learning in the preservation and innovation of intangible cultural heritage: ethical considerations and design frameworks,2025,2025-05-07,article,16,False,Digital Scholarship in the Humanities,journal,Yanan Fu; Ke Shi; Le Xi,Henan University of Science and Technology,CN,Cultural Heritage Management and Preservation; 3D Surveying and Cultural Heritage; Conservation Techniques and Studies,Cultural heritage; Intangible cultural heritage; Engineering ethics; Sociology; Knowledge management; Engineering; Epistemology; Computer science; Political science; Philosophy,"Abstract This study explores the application of artificial intelligence (AI) and machine learning in the preservation and innovation of intangible cultural heritage. Through analysis of implementations at major cultural institutions including the Palace Museum and Dunhuang Academy, the research demonstrates AI-driven preservation strategies achieving 90–95 per cent success rates in pattern recognition and 88 per cent accuracy in oral history preservation. It examines these technologies in documenting, analysing, and revitalizing cultural practices, while addressing ethical considerations and sustainability challenges. The research investigates cultural pattern recognition, AI-driven innovation, deep learning in heritage restoration, and natural language processing in preserving oral traditions. Empirical evidence shows AI-enhanced systems have achieved 92 per cent cultural accuracy while reducing processing time by 75 per cent. A framework for balancing technological intervention with cultural authenticity is proposed, alongside mechanisms for community participation and intellectual property protection. Implementation has achieved 80 per cent community engagement and demonstrated 40 per cent reduction in computational resource consumption while maintaining preservation quality."
artificial intelligence cultural heritage,https://openalex.org/W4378175876,https://doi.org/10.1007/s00500-023-08481-6,RETRACTED ARTICLE: Multimedia display of wushu intangible cultural heritage based on interactive system and artificial intelligence,2023,2023-05-25,article,12,False,Soft Computing,journal,Jinghui Cui; Li‐Min Fu,Hebei Normal University,CN,Augmented Reality Applications; Educational Research and Pedagogy; Robotics and Automated Systems,Cultural heritage; Martial arts; Computer science; Multimedia; Action (physics); Visual arts; Art; History; Quantum mechanics; Archaeology,
