pais,anio,n_A,n_B,tasa_IA_pct
China,2015,896,3,0.33
China,2016,548,4,0.73
China,2017,647,9,1.39
China,2018,849,16,1.88
China,2019,845,20,2.37
China,2020,1161,32,2.76
China,2021,1413,60,4.25
China,2022,1775,112,6.31
China,2023,2412,182,7.55
China,2024,3158,291,9.21
China,2025,4780,661,13.83
China,2026,3888,459,11.81
Egipto,2015,85,0,0.0
Egipto,2016,134,0,0.0
Egipto,2017,158,1,0.63
Egipto,2018,209,0,0.0
Egipto,2019,252,1,0.4
Egipto,2020,270,1,0.37
Egipto,2021,329,2,0.61
Egipto,2022,413,7,1.69
Egipto,2023,349,8,2.29
Egipto,2024,393,14,3.56
Egipto,2025,371,18,4.85
Egipto,2026,170,8,4.71
Francia,2015,976,5,0.51
Francia,2016,1295,2,0.15
Francia,2017,1247,10,0.8
Francia,2018,1429,16,1.12
Francia,2019,1427,18,1.26
Francia,2020,1493,16,1.07
Francia,2021,1524,41,2.69
Francia,2022,1451,30,2.07
Francia,2023,1542,42,2.72
Francia,2024,1390,41,2.95
Francia,2025,1490,49,3.29
Francia,2026,958,36,3.76
Reino Unido,2015,1847,8,0.43
Reino Unido,2016,2107,4,0.19
Reino Unido,2017,2147,14,0.65
Reino Unido,2018,2541,14,0.55
Reino Unido,2019,2314,21,0.91
Reino Unido,2020,2717,19,0.7
Reino Unido,2021,2383,40,1.68
Reino Unido,2022,2525,53,2.1
Reino Unido,2023,2733,44,1.61
Reino Unido,2024,2769,62,2.24
Reino Unido,2025,3335,110,3.3
Reino Unido,2026,3183,125,3.93
Grecia,2015,235,1,0.43
Grecia,2016,245,1,0.41
Grecia,2017,320,4,1.25
Grecia,2018,390,5,1.28
Grecia,2019,403,11,2.73
Grecia,2020,410,11,2.68
Grecia,2021,459,15,3.27
Grecia,2022,488,35,7.17
Grecia,2023,512,37,7.23
Grecia,2024,460,28,6.09
Grecia,2025,606,43,7.1
Grecia,2026,423,39,9.22
India,2015,246,1,0.41
India,2016,279,3,1.08
India,2017,301,6,1.99
India,2018,340,5,1.47
India,2019,399,9,2.26
India,2020,463,11,2.38
India,2021,600,26,4.33
India,2022,621,24,3.86
India,2023,802,70,8.73
India,2024,1170,89,7.61
India,2025,1736,168,9.68
India,2026,1760,154,8.75
Italia,2015,1125,7,0.62
Italia,2016,1297,12,0.93
Italia,2017,1453,18,1.24
Italia,2018,1642,18,1.1
Italia,2019,1710,39,2.28
Italia,2020,1988,53,2.67
Italia,2021,2025,64,3.16
Italia,2022,1961,79,4.03
Italia,2023,2342,90,3.84
Italia,2024,2257,110,4.87
Italia,2025,2604,153,5.88
Italia,2026,3111,119,3.83
Japon,2015,290,1,0.34
Japon,2016,263,2,0.76
Japon,2017,303,3,0.99
Japon,2018,315,3,0.95
Japon,2019,326,7,2.15
Japon,2020,393,10,2.54
Japon,2021,411,6,1.46
Japon,2022,417,14,3.36
Japon,2023,399,15,3.76
Japon,2024,411,26,6.33
Japon,2025,589,39,6.62
Japon,2026,547,29,5.3
Peru,2015,43,0,0.0
Peru,2016,34,0,0.0
Peru,2017,36,0,0.0
Peru,2018,71,2,2.82
Peru,2019,64,0,0.0
Peru,2020,82,0,0.0
Peru,2021,98,2,2.04
Peru,2022,72,4,5.56
Peru,2023,103,4,3.88
Peru,2024,126,3,2.38
Peru,2025,138,4,2.9
Peru,2026,125,5,4.0
