pais,fuente,n,pct_del_corpus,citas_medianas,tipo
China,npj Heritage Science,89,4.8,1,journal
China,Scientific Reports,41,2.2,2,journal
China,Heritage Science,39,2.1,20,journal
China,Buildings,35,1.9,4,journal
China,Applied Sciences,30,1.6,4,journal
China,Applied Mathematics and Nonlinear Sciences,26,1.4,1,journal
China,Sustainability,24,1.3,4,journal
China,Frontiers in artificial intelligence and applications,24,1.3,0,journal
China,IEEE Access,21,1.1,3,journal
China,Research Square,21,1.1,0,repository
China,SSRN Electronic Journal,21,1.1,0,repository
China,PLoS ONE,20,1.1,2,journal
China,Lecture notes in computer science,19,1.0,0,book series
China,Zenodo (CERN European Organization for Nuclear Research),19,1.0,0,repository
China,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",15,0.8,0,journal
