pais,institucion,n,pct_del_corpus,colab_intl_pct,citas_medianas
China,Chinese Academy of Sciences,44,2.4,44.0,2
China,Wuhan University,34,1.8,28.6,1
China,Tsinghua University,34,1.8,38.2,1
China,Beijing University of Civil Engineering and Architecture,30,1.6,20.0,2
China,Zhejiang University,30,1.6,36.7,2
China,Northwest University,30,1.6,16.7,3
China,Shanghai University,28,1.5,29.7,1
China,University of Chinese Academy of Sciences,25,1.4,36.0,4
China,State Administration of Cultural Heritage,25,1.4,28.0,2
China,Peking University,25,1.4,48.0,1
China,Hubei University of Technology,23,1.2,4.3,1
China,Beijing Normal University,21,1.1,38.1,1
China,Minzu University of China,20,1.1,10.0,1
China,Tianjin University,19,1.0,24.3,2
China,Shanghai Jiao Tong University,19,1.0,42.1,2
China,Tongji University,18,1.0,38.9,3
China,Hunan University,18,1.0,33.3,1
China,Communication University of China,18,1.0,27.8,1
China,Guangzhou Academy of Fine Arts,17,0.9,23.5,0
China,Northwestern Polytechnical University,16,0.9,31.2,1
Egipto,Cairo University,8,13.3,50.0,2
Egipto,"Arab Academy for Science, Technology, and Maritime Transport",5,8.3,60.0,0
Egipto,Helwan University,4,6.7,25.0,5
Egipto,Misr International University,3,5.0,0.0,4
Egipto,Alexandria University,3,5.0,33.3,1
Egipto,University of Sadat City,3,5.0,0.0,5
Egipto,British University in Egypt,3,5.0,0.0,2
Egipto,South Valley University,2,3.3,100.0,18
Egipto,Egyptian Atomic Energy Authority,2,3.3,100.0,8
Egipto,Institute of Archeology,2,3.3,100.0,8
Egipto,Joint Institute for Nuclear Research,2,3.3,100.0,8
Egipto,Russian Academy of Sciences,2,3.3,100.0,8
Egipto,Egyptian Museum,2,3.3,0.0,2
Egipto,Zewail City of Science and Technology,2,3.3,0.0,19
Egipto,Nile University,2,3.3,50.0,0
Egipto,Modern Academy,2,3.3,50.0,0
Egipto,Ain Shams University,2,3.3,0.0,2
Egipto,Benha University,2,3.3,50.0,0
Egipto,Ministry of Antiquities,2,3.3,50.0,0
Egipto,Al-Azhar University,2,3.3,0.0,3
Francia,Centre National de la Recherche Scientifique,90,29.4,53.3,4
Francia,Sorbonne Université,23,7.5,73.9,7
Francia,Université de Bourgogne,16,5.2,87.5,6
Francia,Institut national de recherche en sciences et technologies du numérique,13,4.2,46.2,3
Francia,Université Côte d'Azur,13,4.2,46.2,1
Francia,Université Paris 1 Panthéon-Sorbonne,12,3.9,66.7,4
Francia,Institut de Recherche pour le Développement,12,3.9,41.7,1
Francia,Université Paris Cité,11,3.6,63.6,4
Francia,Université Paris-Saclay,11,3.6,63.6,4
Francia,École Pratique des Hautes Études,10,3.3,70.0,2
Francia,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,10,3.3,70.0,0
Francia,Lyon 1 Université,10,3.3,40.0,0
Francia,EURECOM,9,2.9,44.4,2
Francia,Université de Bordeaux,9,2.9,88.9,7
Francia,Qatar University,8,2.6,100.0,18
Francia,Aix-Marseille Université,8,2.6,50.0,3
Francia,CEA Paris-Saclay,8,2.6,87.5,0
Francia,"Laboratoire Pluridisciplinaire de Recherche en Ingénierie des Systèmes, Mécanique et Energétique",8,2.6,12.5,7
Francia,Archéozoologie et Archéobotanique,8,2.6,75.0,4
Francia,Equipes Traitement de l'Information et Systèmes,8,2.6,12.5,5
Reino Unido,University College London,41,8.0,73.2,3
Reino Unido,University of Cambridge,36,7.0,83.3,0
