pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
cn,Novel System for Rapid Investigation and Damage Detection in Cultural Heritage Conservation Based on Deep Learning,the great wall,cn,propio
cn,Sentiment of Chinese Tourists towards Malaysia Cultural Heritage Based on Online Travel Reviews,melaka,my,ajeno
cn,Artificial Intelligence for Sustainable Cultural Heritage: Practical Guidelines and Case-Based Evidence,summer palace,cn,propio
cn,"Research on Identification, Evaluation, and Digitization of Historical Buildings Based on Deep Learning Algorithms: A Case Study of Quanzhou World Cultural Heritage Site",quanzhou,cn,propio
cn,Knowledge archaeology on relations between the Venice Architecture Biennale (1980–2018) and the Pritzker Architecture Prize (1979–2019),venice,it,ajeno
cn,Beyond Photorealism: An AIGC-Powered Framework for Stylized and Gamified Cultural Heritage Revitalization,kaiping diaolou,cn,propio
cn,Reconstruction of Cultural Heritage in Virtual Space Following Disasters,great mosque,tr,ajeno
cn,Quantitative assessment of forest ecosystem stress caused by cement plant pollution using in situ measurements and Sentinel-2 satellite data in a part of the UNESCO World Heritage ,hyrcanian forests,az;ir,ajeno
cn,Auto-identification of linear archaeological traces of the Great Wall in northwest China using improved DeepLabv3+ from very high-resolution aerial imagery,the great wall,cn,propio
cn,Deep Learning and Transformer Models for Groundwater Level Prediction in the Marvdasht Plain: Protecting UNESCO Heritage Sites—Persepolis and Naqsh-e Rustam,persepolis,ir,ajeno
cn,Dynamic Transmission and Innovative Transformation of Cultural Heritage: Generative Artificial Intelligence Practices Based on Cultural Cognitive Models,delphi,gr,ajeno
cn,A Novel Optimization Approach for Revolutionizing Architectural Design in Chinese Cultural Heritage,dazu rock carvings,cn,propio
cn,Fast adaptive multimodal feature registration (FAMFR): an effective high-resolution point clouds registration workflow for cultural heritage interiors,warsaw,pl,ajeno
cn,Research on Digital Platform Technology of Intangible Cultural Heritage in Beijing Section of Great Wall Cultural Belt,the great wall,cn,propio
cn,Three-Dimensional Intelligent Understanding and Preventive Conservation Prediction for Linear Cultural Heritage,the great wall,cn,propio
cn,Research on Cultural Relic Restoration and Digital Presentation Based on 3D Reconstruction MVS Algorithm: A Case Study of Mogao Grottoes’ Cave 285,mogao caves,cn,propio
cn,Explainable AI with fine-tuned large language models for sustainable cultural heritage management,lijiang,cn,propio
cn,AIGC-enabled Cultural and Creative Product Design Exploration: Macao Intangible Cultural Heritage Dragon Dance Element as an Example,macao,cn,propio
cn,Remote Sensing Archaeology of the Xixia Imperial Tombs: Analyzing Burial Landscapes and Geomantic Layouts,xixia imperial tombs,cn,propio
cn,Transforming panoramic images into 3D experiences for online cultural heritage visualization,mogao caves,cn,propio
cn,Research on Intangible Cultural Heritage Outreach Translation Based on Natural Language Processing Technology,the great wall,cn,propio
cn,Forecasting Museum Visitor Behaviors Using Deep Learning,florence,it,ajeno
cn,"Mechanism of Tourist Landscape Suitability in Natural Historical Heritage Sites: An Empirical Analysis in Quanzhou, China Based on Multi-Source Data and Machine Learning",quanzhou,cn,propio
cn,From visual to multisensory: how does intangible cultural heritage of traditional costume self-remodel in digital interactive environment?,qing dynasties,cn,propio
cn,From remote sensing and machine learning to the history of the Silk Road: large scale material identification on wall paintings,mogao caves,cn,propio
cn,Knowledge graph representation method for semantic 3D modeling of Chinese grottoes,dazu rock carvings,cn,propio
cn,Tourist Satisfaction in World Heritage Sites Based on Natural Language Processing,west lake cultural landscape of hangzhou,cn,propio
cn,QUANTITATIVE ANALYSIS OF THE ACADEMIC DEVELOPMENT EVOLUTION KNOWLEDGE GRAPH OF MUSEUM DISPLAY DESIGN ORIENTED TO AUDIENCE'S PSYCHOLOGICAL EXPERIENCE,olympic,us,ajeno
cn,Application of computer vision technology in surface damage detection and analysis of shedthin tiles in China: a case study of the classical gardens of Suzhou,classical gardens of suzhou,cn,propio
cn,Heri-Graphs: A Dataset Creation Framework for Multi-Modal Machine Learning on Graphs of Heritage Values and Attributes with Social Media,venice,it,ajeno
cn,The Use of Machine Learning and Satellite Imagery to Detect Roman Fortified Sites: The Case Study of Blad Talh (Tunisia Section),fortified,et,ajeno
cn,"The Application of Artificial Intelligence Technologies in Digital Humanities: Applying to Dunhuang Culture Inheritance, Development, and Innovation",mogao caves,cn,propio
cn,Constructing a Sustainable Evaluation Framework for AIGC Technology in Yixing Zisha Pottery: Balancing Heritage Preservation and Innovation,delphi,gr,ajeno
cn,An Improved Segmentation Method for Automatic Mapping of Cone Karst from Remote Sensing Data Based on DeepLab V3+ Model,south china karst,cn,propio
cn,Non-destructive testing research on the surface damage faced by the Shanhaiguan Great Wall based on machine learning,the great wall,cn,propio
cn,"Perception and gaze of diaspora: Analysis of affective, cognitive, &amp; cultural factors in tourism",quanzhou,cn,propio
cn,A Deep Learning-Based Method of Investigating Rammed-Earth Wall Damage on the Ming Great Wall Military Defense System,the great wall,cn,propio
cn,Automated irregularity characterization and restoration prioritization for stone masonry heritage structures using image processing and deep learning,the great wall,cn,propio
cn,Lightweight transfer learning for weathering pattern recognition in stone cultural heritage: validation at Yungang Grottoes,yungang grottoes,cn,propio
cn,Bodhisattva head images modeling style recognition of Dazu Rock Carvings based on deep convolutional network,dazu rock carvings,cn,propio
cn,Spatial organization and environmental niche modeling of Goguryeo archaeological sites in Northeast China: integrating GIS and machine learning approaches,fortresses,co,ajeno
cn,Research on spatiotemporal evolution patterns and driving mechanisms of material cultural heritage based on machine learning,qing dynasties,cn,propio
cn,Damage Assessment of Earthen Sites of the Ming Great Wall in Qinghai Province,great wall,cn,propio
